batch,horizon,fine_history_attention_entropy,coarse_history_attention_entropy,macro_attention_entropy,fine_effective_history_steps,coarse_effective_history_steps,fine_expected_lag,coarse_expected_lag,fine_context_norm,coarse_context_norm,macro_context_norm
0,1,2.483757972717285,2.4835875034332275,1.3767045736312866,11.986223220825195,11.984180450439453,5.6293745040893555,5.414226531982422,2.4187393188476562,2.1926984786987305,0.9702690839767456
0,2,2.4817497730255127,2.4833664894104004,1.3707188367843628,11.962177276611328,11.98153305053711,5.72373104095459,5.442574977874756,2.415653705596924,2.2003002166748047,1.0478191375732422
0,3,2.483018398284912,2.48341703414917,1.3734630346298218,11.977362632751465,11.982137680053711,5.664778709411621,5.3962202072143555,2.417267322540283,2.1886932849884033,1.0708990097045898
0,4,2.481482982635498,2.4833626747131348,1.365729570388794,11.958986282348633,11.981486320495605,5.75949239730835,5.43514347076416,2.4047999382019043,2.199497938156128,0.9865494966506958
0,5,2.482023239135742,2.482581615447998,1.3737752437591553,11.965448379516602,11.972131729125977,5.722019195556641,5.3534064292907715,2.41475510597229,2.194788694381714,1.0701435804367065
0,6,2.4813475608825684,2.4831433296203613,1.3733642101287842,11.957366943359375,11.978858947753906,5.744359016418457,5.416347026824951,2.4077377319335938,2.199263572692871,0.9683896899223328
0,7,2.4811532497406006,2.4834837913513184,1.3705687522888184,11.95504379272461,11.982937812805176,5.774491786956787,5.535273551940918,2.413020133972168,2.2057623863220215,1.0250805616378784
0,8,2.481602668762207,2.4837236404418945,1.3695554733276367,11.960417747497559,11.985812187194824,5.72043514251709,5.491910457611084,2.4200708866119385,2.1947360038757324,1.0480296611785889
0,9,2.4814095497131348,2.4836883544921875,1.372262716293335,11.958107948303223,11.985389709472656,5.7354736328125,5.568476676940918,2.4232022762298584,2.2029242515563965,0.9996694326400757
0,10,2.4832534790039062,2.4822890758514404,1.3676128387451172,11.980178833007812,11.96863079071045,5.636964797973633,5.318620681762695,2.4198102951049805,2.183166265487671,1.010472059249878
